high(0);last(1);created_at(2);book(3);volumne(4);vwa(5);low(6);ask(7);bid(8);ask_avg_price(9);ask_avg_amount(10);bid_avg_price(11);bid_avg_amount(12);avg_trade_sell_amount(13);avg_trade_buy_amount(14);sentiment_Twitter(15);interest_trends(16);time_stamp(17)
2639.24;2638.87;2019-03-31T12:24:19+00:00;eth_mxn;396.61152358;2620.76435498;2600.09;2637.97;2606.10;2713.1614;3.48244877;2810.0;0.00383953;4.45610810917;0.868776054423;0.0;39.4655172414;1554035255.8488293
2639.24;2606.62;2019-03-31T15:21:24+00:00;eth_mxn;372.25720070;2621.02377734;2600.09;2639.10;2607.99;2714.3926;3.7139412518;2810.0;0.00383953;4.40425044265;0.864119492157;0.0;47.8879310345;1554045860.2155192
2639.24;2619.00;2019-03-31T22:26:28+00:00;eth_mxn;337.70895183;2615.12045230;2600.09;2627.75;2603.39;2694.1458;4.44004961;2789.99;0.45;0.63584736;0.700119913714;0.0;49.3220338983;1554071417.35548
2659.72;2600.09;2019-04-01T12:20:50+00:00;eth_mxn;152.71677397;2601.13647244;2600.09;2644.51;2600.08;2716.5606;5.3406965978;2820.0;3.01757509;0.431116704865;0.465041786984;2.0;48.2627118644;1554121411.9165177
2659.72;2600.09;2019-04-01T12:24:01+00:00;eth_mxn;152.71677397;2601.13647244;2600.09;2643.04;2600.08;2723.2632;5.5283694566;2825.0;11.31503288;0.431116704865;0.465041786984;3.0;48.6637931034;1554121565.9961228
2839.99;2723.15;2019-04-02T12:20:54+00:00;eth_mxn;1311.15493244;2700.73345342;2700.39;2800.00;2724.19;2932.2112;19.4747536656;3051.0;1.22033704;2.7602156175;0.6328317375;2.0;52.7288135593;1554207787.7241342
2899.00;2892.99;2019-04-02T13:28:36+00:00;eth_mxn;1378.91804127;2705.13348603;2700.39;2892.98;2800.82;2974.0212;23.8866695422;3089.95;2.26804124;0.493098446087;1.11579098774;0.0;48.5508474576;1554211848.7749343
2948.00;2931.99;2019-04-02T18:32:37+00:00;eth_mxn;1808.32437371;2761.81555998;2700.39;2932.00;2916.30;2977.1814;17.903258742;3049.0;0.13569115;1.41849453507;0.825047931852;0.0;47.0254237288;1554230054.3527179
3100.00;3100.00;2019-04-03T12:20:51+00:00;eth_mxn;2498.13080322;3005.28546556;3005.10;3099.99;3015.98;3257.7706;23.059515122;3399.0;4.46;0.484490565;0.710394434286;-1.0;48.8050847458;1554294148.043681
3100.00;3100.00;2019-04-03T12:22:57+00:00;eth_mxn;2497.26443014;3005.36717493;3005.10;3099.98;3039.47;3263.771;22.8513876264;3400.0;5.07446022;0.484490565;0.710394434286;3.0;48.6186440678;1554294280.7625852
3100.00;3099.98;2019-04-03T13:30:36+00:00;eth_mxn;2542.36984817;3013.84426798;3005.10;3099.98;3065.22;3248.0846;21.9198698484;3380.09;0.0316909;1.09689226517;1.61615118786;2.0;47.2542372881;1554298366.2796547
3129.89;3062.32;2019-04-04T12:20:52+00:00;eth_mxn;2544.97136210;3119.28331792;3050.26;3122.81;3062.64;3292.4666;17.0487191158;3434.0;0.00489297;0.716416333148;0.384970359783;2.0;51.906779661;1554380612.5342097
